sequence_name,max_consecutive,name,score,evalue,alignments
SARS-CoV-2-conservedstructured-1,1,hsa-miR-659-5p,65.0,6.2,|
SARS-CoV-2-conservedstructured-1,2,hsa-miR-371a-3p,59.0,20.0,||
SARS-CoV-2-conservedstructured-1,2,hsa-miR-371b-5p,59.0,20.0,||
SARS-CoV-2-conservedstructured-1,6,hsa-miR-30c-1-3p,58.0,24.0,||||||
SARS-CoV-2-conservedstructured-1,3,hsa-miR-6733-3p,58.0,24.0,|||
SARS-CoV-2-conservedstructured-2,9,hsa-miR-3124-3p,67.0,4.2,|||||||||
SARS-CoV-2-conservedstructured-2,6,hsa-miR-1251-3p,63.0,9.1,||||||
SARS-CoV-2-conservedstructured-2,3,hsa-miR-7-2-3p,60.0,16.0,|||
SARS-CoV-2-conservedstructured-2,1,hsa-miR-489-5p,60.0,16.0,|
SARS-CoV-2-conservedstructured-2,1,hsa-miR-3529-5p,56.0,35.0,|
SARS-CoV-2-conservedstructured-2,2,hsa-miR-653-3p,56.0,35.0,||
SARS-CoV-2-conservedstructured-3,1,hsa-miR-3681-5p,62.0,11.0,|
SARS-CoV-2-conservedstructured-3,2,hsa-miR-5700,62.0,11.0,||
SARS-CoV-2-conservedstructured-3,2,hsa-miR-30c-2-3p,60.0,16.0,||
SARS-CoV-2-conservedstructured-3,8,hsa-miR-605-3p,59.0,20.0,||||||||
SARS-CoV-2-conservedstructured-3,2,hsa-miR-4729,58.0,24.0,||
SARS-CoV-2-conservedstructured-3,1,hsa-miR-605-3p,47.0,195.0,|
SARS-CoV-2-conservedstructured-3,2,hsa-miR-30c-2-3p,46.0,237.0,||
SARS-CoV-2-conservedstructured-3,2,hsa-miR-605-3p,41.0,616.0,||
SARS-CoV-2-conservedstructured-4,2,hsa-miR-3606-5p,68.0,3.5,||
SARS-CoV-2-conservedstructured-4,11,hsa-miR-4735-3p,62.0,11.0,|||||||||||
SARS-CoV-2-conservedstructured-4,3,hsa-miR-3910,59.0,20.0,|||
SARS-CoV-2-conservedstructured-4,7,hsa-miR-4802-5p,57.0,29.0,|||||||
SARS-CoV-2-conservedstructured-4,11,hsa-miR-10393-3p,57.0,29.0,|||||||||||
SARS-CoV-2-conservedstructured-5,2,hsa-miR-3662,61.0,13.0,||
SARS-CoV-2-conservedstructured-5,7,hsa-miR-582-5p,58.0,24.0,|||||||
SARS-CoV-2-conservedstructured-5,7,hsa-miR-582-3p,58.0,24.0,|||||||
SARS-CoV-2-conservedstructured-5,1,hsa-miR-582-5p,41.0,616.0,|
SARS-CoV-2-conservedstructured-5,1,hsa-miR-582-3p,41.0,616.0,|
SARS-CoV-2-conservedstructured-6,2,hsa-miR-3662,61.0,13.0,||
SARS-CoV-2-conservedstructured-6,5,hsa-miR-5697,53.0,62.0,|||||
SARS-CoV-2-conservedstructured-6,7,hsa-miR-3662,43.0,420.0,|||||||
SARS-CoV-2-conservedstructured-7,2,hsa-miR-4789-5p,63.0,9.1,||
SARS-CoV-2-conservedstructured-7,4,hsa-miR-148b-3p,60.0,16.0,||||
SARS-CoV-2-conservedstructured-7,2,hsa-miR-4789-3p,58.0,24.0,||
SARS-CoV-2-conservedstructured-7,5,hsa-miR-4789-5p,45.0,287.0,|||||
SARS-CoV-2-conservedstructured-7,2,hsa-miR-148b-3p,40.0,747.0,||
SARS-CoV-2-conservedstructured-8,4,hsa-miR-6837-3p,62.0,11.0,||||
SARS-CoV-2-conservedstructured-8,7,hsa-miR-4798-3p,61.0,13.0,|||||||
SARS-CoV-2-conservedstructured-8,12,hsa-miR-668-3p,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-8,5,hsa-miR-761,56.0,34.0,|||||
SARS-CoV-2-conservedstructured-8,1,hsa-miR-548y,56.0,34.0,|
SARS-CoV-2-conservedstructured-8,1,hsa-miR-548y,40.0,732.0,|
SARS-CoV-2-conservedstructured-9,7,hsa-miR-1206,69.0,2.8,|||||||
SARS-CoV-2-conservedstructured-9,3,hsa-miR-4659b-3p,65.0,6.0,|||
SARS-CoV-2-conservedstructured-9,3,hsa-miR-4659a-5p,64.0,7.3,|||
SARS-CoV-2-conservedstructured-9,1,hsa-miR-582-3p,60.0,16.0,|
SARS-CoV-2-conservedstructured-9,3,hsa-miR-4659a-3p,59.0,19.0,|||
SARS-CoV-2-conservedstructured-9,3,hsa-let-7d-5p,58.0,23.0,|||
SARS-CoV-2-conservedstructured-9,3,hsa-miR-4729,57.0,28.0,|||
SARS-CoV-2-conservedstructured-9,3,hsa-let-7d-5p,49.0,129.0,|||
