score,name
98,hsa-miR-302c-5p
95,hsa-miR-4288
95,hsa-miR-559
94,hsa-miR-548aq-5p
94,hsa-miR-548y
94,hsa-miR-548w
94,hsa-miR-548o-5p
94,hsa-miR-548h-5p
94,hsa-miR-548d-5p
94,hsa-miR-548c-5p
94,hsa-miR-548bb-5p
94,hsa-miR-548b-5p
94,hsa-miR-548ay-5p
94,hsa-miR-548au-5p
94,hsa-miR-548ar-5p
94,hsa-miR-548am-5p
94,hsa-miR-548ak
94,hsa-miR-548ae-5p
94,hsa-miR-548ad-5p
94,hsa-miR-548a-5p
93,hsa-miR-548ab
93,hsa-miR-628-3p
93,hsa-miR-6830-3p
93,hsa-miR-4778-3p
93,hsa-miR-548j-5p
93,hsa-miR-548i
93,hsa-miR-548as-5p
93,hsa-miR-548ap-5p
93,hsa-miR-195-5p
93,hsa-miR-16-5p
93,hsa-miR-15b-5p
93,hsa-miR-15a-5p
92,hsa-miR-3133
91,hsa-miR-6838-5p
91,hsa-miR-3686
90,hsa-miR-513b-3p
90,hsa-miR-194-5p
89,hsa-miR-497-5p
89,hsa-miR-424-5p
88,hsa-miR-409-3p
88,hsa-miR-664b-3p
88,hsa-miR-579-3p
88,hsa-miR-186-5p
88,hsa-miR-5688
88,hsa-miR-8075
88,hsa-miR-1305
87,hsa-miR-4724-3p
87,hsa-miR-3671
87,hsa-miR-495-3p
87,hsa-miR-4504
86,hsa-miR-6844
86,hsa-miR-7159-5p
85,hsa-miR-548z
85,hsa-miR-548h-3p
85,hsa-miR-548d-3p
85,hsa-miR-548bb-3p
85,hsa-miR-548ac
85,hsa-miR-527
85,hsa-miR-518a-5p
85,hsa-miR-1283
85,hsa-miR-6869-5p
85,hsa-miR-3159
85,hsa-miR-605-5p
85,hsa-miR-3123
85,hsa-miR-633
84,hsa-miR-582-3p
84,hsa-miR-632
84,hsa-miR-298
84,hsa-miR-30e-5p
84,hsa-miR-30d-5p
84,hsa-miR-30c-5p
84,hsa-miR-30b-5p
84,hsa-miR-30a-5p
84,hsa-miR-29c-3p
84,hsa-miR-29b-3p
84,hsa-miR-6866-5p
83,hsa-miR-676-5p
83,hsa-miR-647
83,hsa-miR-651-5p
83,hsa-miR-374a-5p
83,hsa-miR-539-3p
83,hsa-miR-485-3p
82,hsa-miR-4659b-3p
82,hsa-miR-4659a-3p
82,hsa-miR-6875-3p
82,hsa-miR-7851-3p
82,hsa-miR-5003-5p
82,hsa-miR-196a-1-3p
82,hsa-miR-1279
82,hsa-miR-335-3p
82,hsa-miR-6515-3p
81,hsa-miR-505-3p
81,hsa-miR-548l
81,hsa-miR-6800-5p
80,hsa-miR-3973
80,hsa-miR-29a-3p
80,hsa-miR-3658
80,hsa-miR-28-3p
80,hsa-miR-3065-5p
80,hsa-miR-21-3p
80,hsa-miR-6754-3p
80,hsa-miR-374b-5p
80,hsa-miR-412-3p
80,hsa-miR-122b-3p
79,hsa-miR-125b-2-3p
79,hsa-miR-634
79,hsa-miR-3182
