sequence_name,max_consecutive,name,score,evalue,alignments
SARS-CoV-2-conservedstructured-1,1,hsa-miR-6857-3p,73.0,1.3,|
SARS-CoV-2-conservedstructured-1,1,hsa-miR-218-5p,60.0,16.0,|
SARS-CoV-2-conservedstructured-1,1,hsa-miR-3159,59.0,20.0,|
SARS-CoV-2-conservedstructured-1,6,hsa-miR-3616-5p,59.0,20.0,||||||
SARS-CoV-2-conservedstructured-2,10,hsa-miR-17-3p,63.0,9.1,||||||||||
SARS-CoV-2-conservedstructured-2,11,hsa-miR-548a-3p,63.0,9.1,|||||||||||
SARS-CoV-2-conservedstructured-2,8,hsa-miR-1537-3p,60.0,16.0,||||||||
SARS-CoV-2-conservedstructured-2,6,hsa-miR-6865-5p,59.0,20.0,||||||
SARS-CoV-2-conservedstructured-3,1,hsa-miR-3912-3p,57.0,29.0,|
SARS-CoV-2-conservedstructured-3,2,hsa-miR-3927-5p,57.0,29.0,||
SARS-CoV-2-conservedstructured-3,8,hsa-miR-4646-5p,56.0,35.0,||||||||
SARS-CoV-2-conservedstructured-3,6,hsa-miR-10523-5p,56.0,35.0,||||||
SARS-CoV-2-conservedstructured-3,11,hsa-miR-152-5p,55.0,42.0,|||||||||||
SARS-CoV-2-conservedstructured-3,1,hsa-miR-6891-3p,55.0,42.0,|
SARS-CoV-2-conservedstructured-3,3,hsa-miR-152-5p,52.0,75.0,|||
SARS-CoV-2-conservedstructured-3,1,hsa-miR-3927-5p,39.0,904.0,|
SARS-CoV-2-conservedstructured-4,6,hsa-miR-549a-5p,68.0,3.5,||||||
SARS-CoV-2-conservedstructured-4,2,hsa-miR-496,64.0,7.5,||
SARS-CoV-2-conservedstructured-4,1,hsa-miR-4699-3p,59.0,20.0,|
SARS-CoV-2-conservedstructured-4,2,hsa-miR-3065-5p,58.0,24.0,||
SARS-CoV-2-conservedstructured-4,4,hsa-miR-6776-3p,58.0,24.0,||||
SARS-CoV-2-conservedstructured-4,4,hsa-miR-4699-3p,50.0,110.0,||||
SARS-CoV-2-conservedstructured-4,1,hsa-miR-496,48.0,161.0,|
SARS-CoV-2-conservedstructured-4,7,hsa-miR-3065-5p,43.0,420.0,|||||||
SARS-CoV-2-conservedstructured-5,9,hsa-miR-543,60.0,16.0,|||||||||
SARS-CoV-2-conservedstructured-5,4,hsa-miR-4502,60.0,16.0,||||
SARS-CoV-2-conservedstructured-5,3,hsa-miR-4711-5p,59.0,20.0,|||
SARS-CoV-2-conservedstructured-5,4,hsa-miR-4502,48.0,161.0,||||
SARS-CoV-2-conservedstructured-6,12,hsa-miR-7843-3p,61.0,13.0,||||||||||||
SARS-CoV-2-conservedstructured-6,9,hsa-miR-543,60.0,16.0,|||||||||
SARS-CoV-2-conservedstructured-6,4,hsa-miR-4502,60.0,16.0,||||
SARS-CoV-2-conservedstructured-6,1,hsa-miR-10522-5p,60.0,16.0,|
SARS-CoV-2-conservedstructured-6,3,hsa-miR-4711-5p,59.0,20.0,|||
SARS-CoV-2-conservedstructured-6,4,hsa-miR-16-2-3p,58.0,24.0,||||
SARS-CoV-2-conservedstructured-6,7,hsa-miR-3664-5p,58.0,24.0,|||||||
SARS-CoV-2-conservedstructured-6,4,hsa-miR-4502,48.0,161.0,||||
SARS-CoV-2-conservedstructured-6,2,hsa-miR-10522-5p,43.0,420.0,||
SARS-CoV-2-conservedstructured-6,7,hsa-miR-3664-5p,41.0,616.0,|||||||
SARS-CoV-2-conservedstructured-6,4,hsa-miR-16-2-3p,39.0,904.0,||||
SARS-CoV-2-conservedstructured-7,3,hsa-miR-559,78.0,0.52,|||
SARS-CoV-2-conservedstructured-7,13,hsa-miR-1539,65.0,6.2,|||||||||||||
SARS-CoV-2-conservedstructured-7,11,hsa-miR-4720-5p,61.0,13.0,|||||||||||
SARS-CoV-2-conservedstructured-7,2,hsa-miR-1252-5p,60.0,16.0,||
SARS-CoV-2-conservedstructured-7,9,hsa-miR-5002-5p,60.0,16.0,|||||||||
SARS-CoV-2-conservedstructured-7,6,hsa-miR-3658,58.0,24.0,||||||
SARS-CoV-2-conservedstructured-7,4,hsa-miR-548d-3p,56.0,35.0,||||
SARS-CoV-2-conservedstructured-7,1,hsa-miR-559,48.0,161.0,|
SARS-CoV-2-conservedstructured-7,4,hsa-miR-4720-5p,47.0,195.0,||||
SARS-CoV-2-conservedstructured-7,3,hsa-miR-5002-5p,47.0,195.0,|||
SARS-CoV-2-conservedstructured-7,1,hsa-miR-3658,40.0,747.0,|
SARS-CoV-2-conservedstructured-8,2,hsa-miR-600,65.0,6.1,||
SARS-CoV-2-conservedstructured-8,3,hsa-miR-190a-5p,59.0,19.0,|||
SARS-CoV-2-conservedstructured-8,4,hsa-miR-3680-5p,58.0,23.0,||||
SARS-CoV-2-conservedstructured-8,4,hsa-miR-3977,58.0,23.0,||||
SARS-CoV-2-conservedstructured-9,4,hsa-miR-127-3p,60.0,16.0,||||
SARS-CoV-2-conservedstructured-10,1,hsa-miR-499a-5p,64.0,7.5,|
SARS-CoV-2-conservedstructured-10,1,hsa-miR-499b-3p,64.0,7.5,|
SARS-CoV-2-conservedstructured-10,1,hsa-miR-199b-5p,59.0,20.0,|
SARS-CoV-2-conservedstructured-11,3,hsa-miR-609,63.0,9.1,|||
