sequence_name,max_consecutive,name,score,evalue,alignments
SARS-related-conserved-1 14060-14075,9,hsa-miR-6508-3p,45.0,207.0,|||||||||
SARS-related-conserved-1 14060-14075,4,hsa-miR-605-3p,43.0,304.0,||||
SARS-related-conserved-2 15838-15857,5,hsa-miR-6754-3p,58.0,18.0,|||||
SARS-related-conserved-2 15838-15857,8,hsa-miR-4522,52.0,57.0,||||||||
SARS-related-conserved-2 15838-15857,2,hsa-miR-4755-3p,50.0,84.0,||
SARS-related-conserved-2 15838-15857,10,hsa-miR-6772-3p,50.0,84.0,||||||||||
SARS-related-conserved-2 15838-15857,2,hsa-miR-4755-5p,49.0,102.0,||
SARS-related-conserved-2 15838-15857,4,hsa-miR-6801-3p,48.0,123.0,||||
SARS-related-conserved-2 15838-15857,5,hsa-miR-6804-3p,47.0,150.0,|||||
SARS-related-conserved-3 28554-28569,5,hsa-miR-9851-5p,56.0,25.0,|||||
SARS-related-conserved-3 28554-28569,11,hsa-miR-1260b,55.0,31.0,|||||||||||
SARS-related-conserved-3 28554-28569,11,hsa-miR-6777-5p,55.0,31.0,|||||||||||
SARS-related-conserved-3 28554-28569,6,hsa-miR-9851-3p,52.0,54.0,||||||
SARS-related-conserved-3 28554-28569,10,hsa-miR-6776-3p,51.0,66.0,||||||||||
SARS-related-conserved-3 28554-28569,2,hsa-miR-6856-5p,51.0,66.0,||
SARS-related-conserved-3 28554-28569,10,hsa-miR-1229-3p,50.0,80.0,||||||||||
SARS-related-conserved-3 28554-28569,3,hsa-miR-6511a-5p,48.0,117.0,|||
SARS-related-conserved-3 28554-28569,3,hsa-miR-6511b-5p,48.0,117.0,|||
SARS-related-conserved-3 28554-28569,7,hsa-miR-498-3p,48.0,117.0,|||||||
SARS-related-conserved-3 28554-28569,8,hsa-miR-6856-5p,43.0,304.0,||||||||
SARS-related-conserved-3 28554-28569,4,hsa-miR-9851-3p,42.0,368.0,||||
SARS-related-conserved-4 28513-28546,7,hsa-miR-432-3p,57.0,20.0,|||||||
SARS-related-conserved-4 28513-28546,1,hsa-miR-605-5p,54.0,36.0,|
SARS-related-conserved-4 28513-28546,5,hsa-miR-938,51.0,64.0,|||||
SARS-related-conserved-4 28513-28546,7,hsa-miR-1257,51.0,64.0,|||||||
SARS-related-conserved-4 28513-28546,10,hsa-miR-1184,50.0,78.0,||||||||||
SARS-related-conserved-4 28513-28546,7,hsa-miR-582-3p,49.0,94.0,|||||||
SARS-related-conserved-4 28513-28546,8,hsa-miR-3691-5p,49.0,94.0,||||||||
SARS-related-conserved-5 16153-16169,3,hsa-miR-548y,49.0,90.0,|||
SARS-related-conserved-5 16153-16169,6,hsa-miR-98-5p,44.0,234.0,||||||
SARS-related-conserved-5 16153-16169,2,hsa-miR-23c,44.0,234.0,||
SARS-related-conserved-6 27183-27212,6,hsa-miR-181d-5p,61.0,9.1,||||||
SARS-related-conserved-6 27183-27212,2,hsa-miR-876-3p,57.0,20.0,||
SARS-related-conserved-6 27183-27212,4,hsa-miR-8070,56.0,24.0,||||
SARS-related-conserved-6 27183-27212,1,hsa-miR-3659,54.0,35.0,|
SARS-related-conserved-6 27183-27212,2,hsa-miR-5094,53.0,42.0,||
SARS-related-conserved-7 27165-27181,9,hsa-miR-335-5p,45.0,193.0,|||||||||
SARS-related-conserved-7 27165-27181,5,hsa-miR-3152-5p,43.0,284.0,|||||
SARS-related-conserved-7 27165-27181,4,hsa-miR-5697,43.0,284.0,||||
SARS-related-conserved-8 25511-25530,11,hsa-miR-493-5p,55.0,32.0,|||||||||||
SARS-related-conserved-8 25511-25530,10,hsa-miR-6822-3p,50.0,84.0,||||||||||
SARS-related-conserved-8 25511-25530,2,hsa-miR-376a-2-5p,48.0,123.0,||
SARS-related-conserved-8 25511-25530,4,hsa-miR-4798-5p,47.0,150.0,||||
SARS-related-conserved-8 25511-25530,9,hsa-miR-6734-3p,46.0,181.0,|||||||||
SARS-related-conserved-8 25511-25530,8,hsa-miR-6741-3p,46.0,181.0,||||||||
SARS-related-conserved-8 25511-25530,3,hsa-miR-12116,46.0,181.0,|||
SARS-related-conserved-9 25393-25409,3,hsa-miR-4775,48.0,109.0,|||
SARS-related-conserved-9 25393-25409,1,hsa-miR-6499-3p,47.0,132.0,|
SARS-related-conserved-10 12905-12924,4,hsa-miR-7844-5p,58.0,18.0,||||
SARS-related-conserved-10 12905-12924,4,hsa-miR-421,57.0,22.0,||||
SARS-related-conserved-10 12905-12924,2,hsa-miR-3692-3p,52.0,57.0,||
SARS-related-conserved-10 12905-12924,3,hsa-miR-95-5p,52.0,57.0,|||
SARS-related-conserved-10 12905-12924,10,hsa-miR-635,50.0,84.0,||||||||||
SARS-related-conserved-10 12905-12924,6,hsa-miR-545-3p,49.0,102.0,||||||
SARS-related-conserved-10 12905-12924,2,hsa-miR-545-3p,40.0,572.0,||
SARS-related-conserved-11 13346-13361,7,hsa-miR-186-5p,52.0,54.0,|||||||
SARS-related-conserved-11 13346-13361,2,hsa-miR-186-3p,47.0,141.0,||
SARS-related-conserved-11 13346-13361,3,hsa-miR-371b-3p,47.0,141.0,|||
SARS-related-conserved-11 13346-13361,3,hsa-miR-5009-5p,47.0,141.0,|||
SARS-related-conserved-11 13346-13361,7,hsa-miR-10527-5p,47.0,141.0,|||||||
SARS-related-conserved-12 15496-15518,1,hsa-miR-122-5p,49.0,94.0,|
SARS-related-conserved-12 15496-15518,1,hsa-miR-122b-5p,49.0,94.0,|
SARS-related-conserved-13 28799-28818,1,hsa-miR-323b-5p,49.0,102.0,|
SARS-related-conserved-13 28799-28818,1,hsa-miR-3925-5p,49.0,102.0,|
SARS-related-conserved-13 28799-28818,2,hsa-miR-3960,47.0,150.0,||
SARS-related-conserved-13 28799-28818,7,hsa-miR-4684-3p,47.0,150.0,|||||||
SARS-related-conserved-13 28799-28818,4,hsa-miR-7704,47.0,150.0,||||
SARS-related-conserved-13 28799-28818,4,hsa-miR-425-3p,46.0,181.0,||||
SARS-related-conserved-13 28799-28818,4,hsa-miR-1908-5p,46.0,181.0,||||
SARS-related-conserved-13 28799-28818,1,hsa-miR-4513,46.0,181.0,|
SARS-related-conserved-13 28799-28818,9,hsa-miR-25-5p,45.0,219.0,|||||||||
SARS-related-conserved-13 28799-28818,9,hsa-miR-5091,45.0,219.0,|||||||||
SARS-related-conserved-13 28799-28818,9,hsa-miR-6126,45.0,219.0,|||||||||
SARS-related-conserved-14 27457-27473,1,hsa-miR-7113-5p,49.0,90.0,|
SARS-related-conserved-14 27457-27473,3,hsa-miR-5683,48.0,109.0,|||
SARS-related-conserved-14 27457-27473,2,hsa-miR-6857-5p,48.0,109.0,||
SARS-related-conserved-14 27457-27473,8,hsa-miR-7113-5p,47.0,132.0,||||||||
SARS-related-conserved-14 27457-27473,5,hsa-miR-7850-5p,47.0,132.0,|||||
SARS-related-conserved-15 25547-25562,3,hsa-miR-4668-3p,47.0,141.0,|||
SARS-related-conserved-15 25547-25562,3,hsa-miR-6832-3p,47.0,141.0,|||
SARS-related-conserved-15 25547-25562,4,hsa-miR-208b-3p,44.0,251.0,||||
SARS-related-conserved-16 17089-17105,4,hsa-miR-496,47.0,132.0,||||
SARS-related-conserved-16 17089-17105,7,hsa-miR-6797-3p,47.0,132.0,|||||||
SARS-related-conserved-16 17089-17105,2,hsa-miR-6829-5p,47.0,132.0,||
SARS-related-conserved-16 17089-17105,4,hsa-miR-451b,46.0,160.0,||||
SARS-related-conserved-17 17956-17975,8,hsa-miR-10399-5p,57.0,22.0,||||||||
SARS-related-conserved-17 17956-17975,6,hsa-miR-300,51.0,70.0,||||||
SARS-related-conserved-17 17956-17975,9,hsa-miR-199b-5p,46.0,181.0,|||||||||
SARS-related-conserved-18 18034-18050,5,hsa-miR-190b-3p,52.0,51.0,|||||
SARS-related-conserved-18 18034-18050,2,hsa-miR-5009-5p,47.0,132.0,||
SARS-related-conserved-19 704-723,11,hsa-miR-7975,55.0,32.0,|||||||||||
SARS-related-conserved-19 704-723,3,hsa-miR-126-3p,52.0,57.0,|||
SARS-related-conserved-19 704-723,10,hsa-miR-548ao-3p,50.0,84.0,||||||||||
SARS-related-conserved-19 704-723,5,hsa-miR-564,49.0,102.0,|||||
SARS-related-conserved-19 704-723,6,hsa-miR-616-3p,47.0,150.0,||||||
SARS-related-conserved-20 25376-25392,9,hsa-miR-223-5p,45.0,193.0,|||||||||
SARS-related-conserved-21 10406-10422,10,hsa-miR-4705,52.0,51.0,||||||||||
SARS-related-conserved-21 10406-10422,8,hsa-miR-4480,46.0,160.0,||||||||
SARS-related-conserved-22 16364-16388,3,hsa-miR-3149,60.0,11.0,|||
SARS-related-conserved-22 16364-16388,4,hsa-miR-5707,51.0,63.0,||||
SARS-related-conserved-22 16364-16388,1,hsa-miR-4761-5p,49.0,92.0,|
SARS-related-conserved-22 16364-16388,7,hsa-miR-4297,48.0,112.0,|||||||
SARS-related-conserved-22 16364-16388,3,hsa-miR-4490,48.0,112.0,|||
SARS-related-conserved-22 16364-16388,9,hsa-miR-4666a-5p,46.0,164.0,|||||||||
SARS-related-conserved-22 16364-16388,2,hsa-miR-4666a-5p,39.0,627.0,||
SARS-related-conserved-23 15622-15644,10,hsa-miR-514b-3p,57.0,20.0,||||||||||
SARS-related-conserved-23 15622-15644,4,hsa-miR-1277-5p,56.0,25.0,||||
SARS-related-conserved-23 15622-15644,10,hsa-miR-514a-3p,53.0,44.0,||||||||||
SARS-related-conserved-23 15622-15644,6,hsa-miR-342-3p,52.0,53.0,||||||
SARS-related-conserved-23 15622-15644,10,hsa-miR-11400,50.0,78.0,||||||||||
SARS-related-conserved-23 15622-15644,3,hsa-miR-1277-5p,41.0,435.0,|||
SARS-related-conserved-24 15349-15367,7,hsa-miR-614,52.0,52.0,|||||||
SARS-related-conserved-24 15349-15367,6,hsa-miR-488-3p,48.0,112.0,||||||
SARS-related-conserved-24 15349-15367,3,hsa-miR-3184-5p,47.0,136.0,|||
SARS-related-conserved-24 15349-15367,2,hsa-miR-1284,45.0,199.0,||
SARS-related-conserved-24 15349-15367,6,hsa-miR-5197-5p,44.0,242.0,||||||
SARS-related-conserved-25 15301-15323,4,hsa-miR-199b-5p,51.0,64.0,||||
SARS-related-conserved-25 15301-15323,6,hsa-miR-8067,48.0,114.0,||||||
SARS-related-conserved-25 15301-15323,4,hsa-miR-101-2-5p,48.0,114.0,||||
SARS-related-conserved-26 14077-14099,1,hsa-miR-301a-3p,54.0,36.0,|
SARS-related-conserved-26 14077-14099,1,hsa-miR-20b-3p,53.0,44.0,|
SARS-related-conserved-26 14077-14099,10,hsa-miR-889-5p,50.0,78.0,||||||||||
SARS-related-conserved-27 741-756,4,hsa-miR-130a-5p,48.0,117.0,||||
SARS-related-conserved-27 741-756,5,hsa-miR-942-5p,47.0,141.0,|||||
SARS-related-conserved-27 741-756,9,hsa-miR-4457,45.0,207.0,|||||||||
SARS-related-conserved-27 741-756,3,hsa-miR-5009-3p,44.0,251.0,|||
SARS-related-conserved-27 741-756,2,hsa-miR-5701,44.0,251.0,||
SARS-related-conserved-28 25106-25128,3,hsa-miR-4254,53.0,44.0,|||
SARS-related-conserved-28 25106-25128,4,hsa-miR-4254,51.0,64.0,||||
SARS-related-conserved-28 25106-25128,4,hsa-miR-4664-5p,51.0,64.0,||||
