score,name
97,hsa-miR-302c-5p
93,hsa-miR-21-3p
92,hsa-miR-195-5p
92,hsa-miR-16-5p
92,hsa-miR-15b-5p
92,hsa-miR-15a-5p
92,hsa-miR-6838-5p
92,hsa-miR-4490
92,hsa-miR-122b-3p
91,hsa-miR-497-5p
91,hsa-miR-424-5p
90,hsa-miR-664b-3p
90,hsa-miR-579-3p
89,hsa-miR-4288
89,hsa-miR-196a-1-3p
89,hsa-miR-4684-3p
88,hsa-miR-1226-3p
88,hsa-miR-545-3p
88,hsa-miR-222-5p
88,hsa-miR-4775
87,hsa-miR-3133
87,hsa-miR-6124
87,hsa-miR-302e
87,hsa-miR-936
86,hsa-miR-375-3p
86,hsa-miR-4708-5p
86,hsa-miR-4742-3p
85,hsa-miR-4642
85,hsa-miR-7108-5p
85,hsa-miR-6835-3p
85,hsa-miR-4527
85,hsa-miR-603
85,hsa-miR-4422
85,hsa-miR-548m
84,hsa-miR-3120-3p
84,hsa-miR-548as-3p
83,hsa-miR-6728-3p
83,hsa-miR-3149
83,hsa-miR-2052
83,hsa-miR-6503-5p
82,hsa-miR-4735-5p
82,hsa-miR-510-3p
82,hsa-miR-627-5p
82,hsa-miR-451b
82,hsa-miR-302d-3p
82,hsa-miR-302c-3p
82,hsa-miR-302b-3p
82,hsa-miR-302a-3p
82,hsa-miR-4531
81,hsa-miR-505-3p
81,hsa-miR-675-3p
81,hsa-miR-145-3p
81,hsa-miR-152-3p
81,hsa-miR-148b-3p
81,hsa-miR-148a-3p
80,hsa-miR-33a-3p
80,hsa-miR-521
79,hsa-miR-297
79,hsa-miR-6863
79,hsa-miR-5696
79,hsa-miR-5682
79,hsa-miR-580-3p
79,hsa-miR-216b-3p
78,hsa-miR-411-5p
78,hsa-miR-584-3p
78,hsa-miR-3941
78,hsa-miR-4760-3p
78,hsa-miR-219a-1-3p
78,hsa-miR-30c-5p
78,hsa-miR-30b-5p
77,hsa-miR-2054
77,hsa-miR-409-3p
77,hsa-miR-4452
77,hsa-miR-624-5p
77,hsa-miR-4677-3p
77,hsa-miR-513c-3p
77,hsa-miR-513a-3p
77,hsa-miR-520e-3p
77,hsa-miR-520d-3p
77,hsa-miR-520c-3p
77,hsa-miR-520b-3p
77,hsa-miR-520a-3p
77,hsa-miR-373-3p
77,hsa-miR-372-3p
76,hsa-miR-644a
76,hsa-miR-30e-5p
76,hsa-miR-30d-5p
76,hsa-miR-30a-5p
76,hsa-miR-632
76,hsa-miR-597-3p
76,hsa-miR-380-3p
76,hsa-miR-4717-3p
76,hsa-miR-552-5p
75,hsa-miR-885-5p
75,hsa-miR-141-3p
75,hsa-miR-508-3p
75,hsa-miR-4762-5p
75,hsa-miR-4310
74,hsa-miR-548at-5p
74,hsa-miR-1250-3p
74,hsa-miR-4524b-5p
74,hsa-miR-4524a-5p
74,hsa-miR-8081
73,hsa-miR-548t-5p
73,hsa-miR-548az-5p
73,hsa-miR-6818-5p
73,hsa-miR-330-3p
73,hsa-miR-3130-3p
73,hsa-miR-4719
73,hsa-miR-30e-3p
73,hsa-miR-30d-3p
73,hsa-miR-30a-3p
73,hsa-miR-3606-3p
73,hsa-miR-34c-3p
73,hsa-miR-4709-5p
73,hsa-miR-1184
73,hsa-miR-8073
73,hsa-miR-221-5p
72,hsa-miR-577
72,hsa-miR-653-5p
72,hsa-miR-107
72,hsa-miR-103a-3p
72,hsa-miR-6512-5p
72,hsa-miR-200a-3p
72,hsa-miR-7110-3p
72,hsa-miR-3185
71,hsa-miR-219b-3p
71,hsa-miR-186-5p
71,hsa-miR-5047
71,hsa-miR-4528
71,hsa-miR-548z
71,hsa-miR-548h-3p
71,hsa-miR-548d-3p
71,hsa-miR-548bb-3p
71,hsa-miR-548ac
71,hsa-miR-570-5p
71,hsa-miR-548ba
71,hsa-miR-548ai
71,hsa-miR-548ag
71,hsa-miR-466
70,hsa-miR-4795-3p
70,hsa-miR-4659b-5p
70,hsa-miR-4679
70,hsa-miR-4714-5p
70,hsa-miR-4778-5p
70,hsa-miR-421
69,hsa-miR-924
69,hsa-miR-8485
69,hsa-miR-218-5p
69,hsa-miR-4774-5p
69,hsa-miR-3664-5p
69,hsa-miR-1265
69,hsa-miR-6790-5p
69,hsa-miR-4658
69,hsa-miR-561-3p
69,hsa-miR-361-5p
69,hsa-miR-494-3p
69,hsa-miR-374a-5p
69,hsa-miR-4506
68,hsa-miR-1-5p
68,hsa-miR-3177-5p
68,hsa-miR-1297
68,hsa-miR-3189-3p
68,hsa-miR-12131
68,hsa-miR-203a-3p
68,hsa-miR-6811-3p
68,hsa-miR-548j-3p
68,hsa-miR-519c-3p
68,hsa-miR-519b-3p
68,hsa-miR-519a-3p
68,hsa-miR-4660
68,hsa-miR-589-5p
68,hsa-miR-548g-3p
68,hsa-miR-4659a-5p
67,hsa-miR-6828-5p
67,hsa-miR-376b-3p
67,hsa-miR-376a-3p
67,hsa-miR-3143
67,hsa-miR-32-3p
67,hsa-miR-6509-5p
67,hsa-miR-6165
67,hsa-miR-758-5p
66,hsa-miR-323a-5p
66,hsa-miR-4483
66,hsa-miR-3148
66,hsa-miR-432-5p
66,hsa-miR-374b-5p
66,hsa-miR-891a-3p
66,hsa-miR-5192
66,hsa-miR-499b-3p
66,hsa-miR-499a-3p
66,hsa-miR-101-3p
66,hsa-miR-3190-3p
66,hsa-miR-4460
66,hsa-miR-203a-5p
66,hsa-miR-4738-3p
66,hsa-miR-4758-5p
66,hsa-miR-892c-3p
66,hsa-miR-4676-3p
66,hsa-miR-452-5p
65,hsa-miR-1301-3p
65,hsa-miR-23c
65,hsa-miR-23b-3p
65,hsa-miR-23a-3p
65,hsa-miR-4635
65,hsa-miR-548aq-3p
65,hsa-miR-548am-3p
65,hsa-miR-548ah-3p
65,hsa-miR-548ae-3p
65,hsa-miR-3620-3p
65,hsa-miR-4727-3p
65,hsa-miR-548p
65,hsa-miR-3920
65,hsa-miR-4328
65,hsa-miR-548x-3p
65,hsa-miR-548aj-3p
64,hsa-miR-1231
64,hsa-miR-1293
64,hsa-miR-641
64,hsa-miR-3617-5p
64,hsa-miR-3065-3p
64,hsa-miR-1283
64,hsa-miR-4633-5p
64,hsa-miR-527
64,hsa-miR-518a-5p
64,hsa-miR-5582-3p
63,hsa-miR-3611
63,hsa-miR-559
63,hsa-miR-511-3p
63,hsa-miR-4502
63,hsa-miR-29c-3p
63,hsa-miR-29b-3p
63,hsa-miR-29a-3p
63,hsa-miR-4694-5p
63,hsa-miR-323a-3p
63,hsa-miR-4703-5p
63,hsa-miR-548y
63,hsa-miR-548w
63,hsa-miR-548o-5p
63,hsa-miR-548h-5p
63,hsa-miR-548d-5p
63,hsa-miR-548c-5p
63,hsa-miR-548bb-5p
63,hsa-miR-548b-5p
